# D_l  z_obs  sigma_D_l  sigma_z  v_rms
1.508212559153515144e+02 6.376910425445311836e-02 6.575602818500000524e+01 5.320097263714308397e-03 5.000000000000000000e+02
1.289853602784635598e+02 3.898410104676987981e-02 4.582998868499999645e+01 5.217768130339850256e-03 5.000000000000000000e+02
3.082133915813177509e+02 8.358116476183952148e-02 8.011735310749999428e+01 5.396997671016558022e-03 5.000000000000000000e+02
1.143010217793341781e+02 2.967103869236294503e-02 3.829457575499999678e+01 5.180364673213652162e-03 5.000000000000000000e+02
2.223574408580299178e+02 6.863455488274859684e-02 6.641484043750000410e+01 5.323573745178968725e-03 5.000000000000000000e+02
2.625750935454606179e+02 5.882274002926232703e-02 5.312859357499999646e+01 5.254573456250568805e-03 5.000000000000000000e+02
1.245452704205140293e+02 3.966871272646088631e-02 4.021296696000000281e+01 5.189778361005603809e-03 5.000000000000000000e+02
2.135911283623150041e+02 2.877996472097407721e-02 4.261615511000000112e+01 5.201609631924261450e-03 5.000000000000000000e+02
1.617774874268366432e+02 4.183968506131975629e-02 3.958452015750000186e+01 5.186694525979063629e-03 5.000000000000000000e+02
1.752850603267161773e+02 4.605487444119005930e-02 3.725864899249999951e+01 5.175281303829927688e-03 5.000000000000000000e+02
8.109831487258512084e+01 2.704220712915800587e-02 2.851289978999999875e+01 5.132790220316929553e-03 5.000000000000000000e+02
2.515530554220224815e+02 6.816859047436095442e-02 6.649727780249999398e+01 5.324008758295878212e-03 5.000000000000000000e+02
4.486260309456578170e+02 8.572999055706093108e-02 8.658467559499999311e+01 5.432731807557500577e-03 5.000000000000000000e+02
1.629921956393258426e+02 4.938766843116145638e-02 4.628094416750000306e+01 5.220035442345723892e-03 5.000000000000000000e+02
2.981692210684367410e+02 8.253298424344870932e-02 8.066473249999999950e+01 5.399956470477544970e-03 5.000000000000000000e+02
2.757235480522940065e+02 7.189104941696135287e-02 7.262671847000000014e+01 5.356507864437132053e-03 5.000000000000000000e+02
3.125605437303323129e+02 9.927898932702469703e-02 9.395391324999999938e+01 5.474101912637564793e-03 5.000000000000000000e+02
